Job Title,Company,Location,Posted Date,Apply Link,Skills Required,Responsibilities,Experience,Salary
Cybersecurity Engineer,IBM,"Hampton, VA, US",2024-09-06T11:36:05.000Z,https://clearedjobs.net/job/cybersecurity-engineer-hampton-virginia-1578951?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Strong understanding of common cyber threat patterns, indicators of compromise, and defenses, Working knowledge of DoD STIGs, and IA Vulnerability Management (IAVM), Strong verbal and written communication skills, Ability to work cooperatively as a member of a team, Ability to interpret and apply rules, regulations, and procedures, Ability to gather, analyze, and present facts, Basic understanding of DOD Risk Management Framework Assessment & Authorization (RMF A&A), *** This position requires a Secret Security clearance or higher (US Citizenship is required) ***Required Certifications:DoD 8570.01-M IAT level II certification is required","Belvoir (5 days per week)*** This position requires a Secret Security clearance or higher (US Citizenship is required) *** As part of the Cybersecurity Division - Cyber Incident Response Team, deploy, install, manage, and operate Security Information and Event Management (SIEM) solutions to include Splunk and/or Elasticsearch, Responsible for assessment of threats and vulnerabilities to organizational computing assets and developing/integrating rules, queries, and filtering techniques to produce meaningful risk analysis for responses, Coordinate with team to ensure all devices and components report all relevant logs to the SIEM solution and perform troubleshooting and maintenance of assets, Monitor DoD and Army web application security standards and best practices as well as reported/disclosed vulnerabilities, Work with internal and external customers to track, remediate, and report compliance for disclosed vulnerabilities, Work with a team to review Army Cyber Tasking Orders (CTOs), determine applicability and response, and incorporate required changes, Validate technical security controls are in place for operating systems, applications, and network appliances, and recommend enhancements, Review proposed SIEM configuration changes for security impact, Work with technical and policy teams to implement, maintain, and monitor technical security configuration controls, including: STIGs, SRGs, and other industry security hardening guidance, Collaborate with internal and external parties to transform high-level technical objectives into comprehensive technical requirements, Interact with Army Cyber Security Service Providers and customer ISSOs/ISSMs on a regular basis, Required Technical and Professional ExpertiseRequired Skills:Extensive experience implementing, tuning, and monitoring SIEM rulesets, Experience working with auditors, customers, and other stakeholders to develop meaningful alerts, dashboards, and reports",0 months, None - None
"Network Security Engineer, Lead",First Data-Fiserv,"Columbus, OH, US",2024-09-12T23:59:16.000Z,https://www.jobzmall.com/first-data-fiserv/job/network-security-engineer-lead-3?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Not specified,"As a Network Security Engineer, Lead, you will play a crucial role in ensuring the security and integrity of our network infrastructure, Design, implement and maintain network security measures to protect the organization's network infrastructure from cyber threats, Develop and maintain network security policies, procedures and standards in accordance with industry best practices, Conduct regular security audits and vulnerability assessments to identify and address any potential security risks, Monitor network traffic for any suspicious activity and take necessary actions to mitigate potential threats, Stay up-to-date with the latest security trends, threats and vulnerabilities in the industry and implement necessary security updates and patches, Lead and manage a team of network security engineers, providing guidance and support in their daily tasks and projects, Collaborate with cross-functional teams to ensure network security is integrated into all aspects of system design and development, Communicate and report on network security issues, updates and improvements to senior management and other stakeholders, Participate in incident response and recovery efforts in the event of a security breach, Train and educate employees on network security best practices and company policies, Evaluate and recommend new network security technologies and solutions to enhance the organization's security posture, Maintain and manage network security systems, including firewalls, intrusion detection systems, and access control systems, Ensure compliance with regulatory requirements and industry standards related to network security, Troubleshoot and resolve any network security issues in a timely and efficient manner, Continuously assess and improve the organization's network security posture to protect against emerging threats",0 months, 90000 - 125000
Information Assurance Analyst /Cyber Security Jobs,Base One Technologies,"None, VA, US",2024-09-10T19:08:27.000Z,https://www.clearancejobs.com/jobs/4445495/information-assurance-analyst-cyber-security?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Bachelor's degree and 2 – 4 years of prior relevant experience or Masters with less than 2 years of prior relevant experience, In Lieu of a bachelor's degree 7+ years of IA experience will be consider, Current or ability to obtain DoD 8570 baseline certification for IAM III within 6 months, Current DHS Suitability or EOD, Detailed understanding of the Risk Management Framework (RMF), NIST, ICD, and CNSS standards, Familiarity with network technologies (LAN & WAN) and best practices within a classified environment to include crypto and key management, Expert with Microsoft Windows, Linux, and system virtualization (multiple hypervisors) in a secure network environment, Must be able to work in a constantly changing regulatory environment with short, mid, and long term timelines for remediating any non-compliance, Must be able to work well within a team environment and able to adapt quickly to change, Good writing and verbal presentation skills, Final SECRET clearance with SCI eligibility","Continuous upkeep, monitoring, analysis, and response to Information System, network and security events, Build weekly activity report and metrics slide, Provide annual assessment support, Documents compliance actions within the approved automated compliance tracking system or develops a Plan of Actions and Milestones (POA&M) to address non-compliance in the allotted timeframe, Develop procedures and documentation to ensure compliance with configuration management (CM) for security-relevant IS software, hardware, and firmware, Author all required information system security-related documentation as required by cognizant security authority and IAW RMF, NIST, SAP/SAR, ICD and published standards, Ensures systems are operated, maintained, and disposed of in accordance with internal security policies and practices outlined in the System Security Plan (SSP), Standard Operating Procedures (SOP), and customer directives, Ensures records are maintained for workstations, servers, software, routers, firewalls, network switches, crypto, and other relevant hardware/equipment throughout the information system's life cycle, Evaluates proposed changes or additions to the information system, and advises senior site leadership of the security relevance, Lead / conduct security IS education and training, Participates in internal/external security audits/inspections; performs risk assessments and Continuous Monitoring, Lead investigations/remediation of computer security violations and incidents, reporting as necessary to both the Facility Security and Senior Program Managers, Ensure proper protection and / or corrective measures have been taken when an incident or vulnerability has been discovered, Working with the Facility Security Officer (FSO) to develop, implement and manage a formal Information Security / Information Systems Security Program, Oversee the completion of entry/exit forms for equipment and media entering secured areas, Conduct vulnerability scans of external media, Serve as alternate PKI registered agents as applicable, Lead the authorization process for new hardware and software request, Author, review and update operation instructions (OIs) and assessment and authorization documentation (Body of Evidence) to support re-authorization activities",24 months, 125000 - 150000
Network Security Architect,Insight Global,"Richmond, VA, US",2023-02-06T00:00:00.000Z,https://jobs.insightglobal.com/find_a_job/virginia/job-261732/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Not specified,"The Network Security Architect develops and deploys the overall network security posture for the edge, backbone, datacenter, and cloud, This individual will be responsible for the implementation and administration of network security hardware and software through providing direction to a team of network engineers including managed service engineers, In addition, this individual will enforce our network security policies and ensure that all compliance activities are executed in a timely manner, This individual will improve documentation and reporting capabilities and will collaborate with other teams, leads and vendors to own network security initiatives and strategy both on premise and in the cloud, Be the subject matter expert for firewalls, intrusion prevention, proxy, VPN, etc, Provide technical direction and insight for problem management, projects, and operations, Provide operational support for a multi-vendor, multi-region production network, Improve documentation and reporting capabilities in support of operations and compliance demands, Assist with internal and external audits, Provide direction to network engineering team to accomplish projects and priorities, Identify, test, and integrate new and replacement network security products and capabilities, Understand compliance requirements and perform periodic audits of the network security tools to ensure that policies are appropriately enforced",0 months, None - None
Penetration Tester,Zolon Tech Inc.,"Springfield, VA, US",2024-09-11T14:22:30.000Z,https://www.linkedin.com/jobs/view/penetration-tester-at-zolon-tech-inc-4022322556?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"any IAT Level II Certification, At least one PenTest certification, Skill in conducting vulnerability scans and recognizing vulnerabilities in security systems, Skill in conducting application vulnerability assessments","Work Role Description Performs assessments of systems and networks within the NE or enclave and identifies where those systems/networks deviate from acceptable configurations, enclave policy, or local policy, Conduct and/or support authorized penetration testing on enterprise network assets, Perform technical (evaluation of technology) and nontechnical (evaluation of people and operations) risk and vulnerability assessments of relevant technology focus areas (e.g., local computing environment, network and infrastructure, enclave boundary, supporting infrastructure, and applications)",Experience not mentioned, None - None
Penetration Testing Internship Opportunities,Microsoft,"Ashland, KY, US",2024-08-27T22:12:42.000Z,https://www.linkedin.com/jobs/view/penetration-testing-internship-opportunities-at-microsoft-4011589902?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Currently pursuing a Bachelor's or Master's Degree in Statistics, Mathematics, Computer Science or related field, Must have at least one additional quarter/semester of school remaining following the completion of the internship","As a Penetration Testing Intern, under supervision, you will identify problems and vulnerabilities through application of engineering to dynamically penetrate software, hardware or human systems, You will work on efforts that results in security bug discovery, exploitation and suggested security controls and mitigations in response to security flaws, You will develop and implement pen testing strategies and apply your expertise to engineer solutions, You will help influence mitigations for current and future products and solutions, Identifies security vulnerabilities within specialty/area or responsibility, Able to come up to speed on new targets with the help of others, Leverages known information channels to gain context, Corroborates guidance against real world observations, determines and understands scope of potential impact and identifies variance or instances of known issues",Experience not mentioned, None - None
Cybersec-Red team/Pen tester SME,Motion Recruitment,"Oxon Hill, MD, US",2024-09-12T09:16:43.000Z,https://www.linkedin.com/jobs/view/cybersec-red-team-pen-tester-sme-at-motion-recruitment-3971212844?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Penetration testing/ Offensive cybersecurity experience, 2+ years in a technical + hands on environment, Software Development experience with C+, C#, Hands on experience with Cobalt strike, Kali for operational requirements, Ability to conduct red team exercises independently, Applicants must be currently authorized to work in the US on a full-time basis now and in the future","Conducting phases of red team exercises, Collaborating with team for software development using (C+,C#), Performing penetration testing, Developing advanced tools to enhance cybersecurity capabilities",24 months, 150000 - 185000
Cyber Incident Response Team (CIRT) Monitoring Analyst,Peraton,"Beltsville, MD, US",2024-07-26T00:00:00.000Z,https://www.careers.peraton.com/jobs/cyber-incident-response-team-cirt-monitoring-analyst-beltsville-maryland-147454-jobs?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Bachelor's degree and a minimum of 0 years' experience required, An additional 4 years of experience may be substituted in lieu of degree, Possess ONE of the following certifications: CND; CCNA-Security; CySA+; GICSP; GSEC; Security+ CE; SSCP, Experience with Security Operations Center, network event analysis and/or threat analysis, Knowledge of cloud computing technologies to include Infrastructure as a Service (IaaS), Platform as a Service (PaaS) and Software as a Service (SaaS), Knowledge of traditional computing technologies architecture, design, and security, Expertise in usage of log aggregation and security analysis tools, Demonstrated ability to utilize and leverage host-based tools to assist in determining scope and severity of a cybersecurity incident, Demonstrated strong organizational skills, Can analyze common encoding and obfuscation types (Base64, Caesar cipher, junk data, etc) and recognize advance types (XOR, AES, etc), Proven ability to operate in a time sensitive environment, Proven ability to communicate orally and written, Proven ability to brief (technical/informational) senior leadership, Ability to scope and perform impact analysis on incidents, U.S. citizenship and an active Secret security clearance, Ability to obtain a final Top Secret security clearance","Ability to identify remediation steps for cybersecurity events, Can examine and investigate common packet traffic and protocols, Provide Monitoring support in a 24x7x365 environment, Share in-depth knowledge and intelligence gained from cyber security events with stakeholders, Protect against and prevent potential cyber security threats and vulnerabilities, Monitor and analyze network traffic to identify potential security threats and vulnerabilities, Monitor and analyze Security Information and Event Management (SIEM) alerts to identify security issues for remediation and investigate events and incidents, Provide response, technical assistance and expertise for significant cyber incidents, investigations, and related operational events, Contribute to security policies, procedures, and documentation, Conduct advanced analysis and recommend remediation steps, Analyze network events to determine impact, Develop and maintain analytical procedures to meet changing requirements, Coordinate during all cyber incidents, Analyze identified malicious activity to determine weaknesses exploited, exploitation methods, effects on system and information, Determine tactics, techniques, and procedures for intrusion sets, Work with stakeholders to resolve computer security incidents and vulnerability compliance, Collaborate with cross-functional teams to ensure compliance with security standards and best practices, Collect and analyze intrusion artifacts (e.g., source code, malware, and system configuration) and use discovered data to enable mitigation of potential cyber defense incidents within the enterprise, Perform real-time cyber defense incident handling (e.g., forensic collections, intrusion correlation and tracking, threat analysis, and direct system remediation) tasks to support incident response",0 months, None - None
"Early Careers: Cyber Associate, Digital Forensics and Incident Response",Aon Corporation,"Chicago, IL, US",2024-09-03T18:14:00.000Z,https://jobs.aon.com/jobs/80984?lang=en-us&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Not specified,Not specified,0 months, 0 - 0
Prin Incident Response Analyst,Consumers Energy,"Jackson, MI, US",2024-09-10T00:00:00.000Z,https://careers.consumersenergy.com/job/JACKSON-Prin-Incident-Response-Analyst-MI/1211474800/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Knowledge of the tools, methodologies, and techniques for identifying, prioritizing, and classifying cyber incidents, especially NIST 800- 53 or SANS incident handling frameworks, Understanding of network security architecture concepts including topology, protocols, components, and principles, Able to evaluate, analyze, and synthesize large quantities of data (which may be fragmented and contradictory) for risk assessment, investigation, and response, Able to evaluate risk impact and likelihood and prioritize action based on that evaluation, Able to explain complex technical subject matter in clear language through both written and verbal communication mediums, Able to think conceptually and analytically, Able to lead less-senior team members during incident response activities, Skilled with scripting languages routinely used during incident response and automation, such as Python and PowerShell, Able to participate in after-hours incident response, including weekly 24x7 on-call rotation, High School Diploma Required, 7 years of security incident response required with digital forensics, threat hunting, detection engineering, security engineering background, One or more of GCIH, GCFA, GCIA, GCDA, GCWN, GCFE, GNFA, GRID, GCIP required, Relevant Security certifications (Security+, CySA+, CEH, CFR, GIAC, SCYBER) required","The Principal Incident Response Analyst operates as a member of the Cyber Security Incident Response (CSIRT) Team, requiring some supervision, exercising independence while collaborating closely with the rest of the CSIRT team, This role participates in Incident Response activities and support while specializing in one of the following disciplines: Threat Intelligence, Threat Hunting, Detection Engineering, or Forensics, The Principal Incident Response Analyst may lead Incident Response (IR) activities with support from other team members and holds a formal role in the Fusion Center Incident Command System (ICS), A focus is on delivery of these highly skilled offerings in order to accomplish the mission of securing enterprise assets while serving as an escalation point for junior team members during Incident Response activities, Performs identification, analysis, containment, eradication, and recovery of security incidents escalated by less-senior analysts, Directs activities of other analysts during incident response, works serves in a formal role during Fusion Center Incident Command System (ICS) events, Performs problem solving, continuous process improvement, and maturity work to enhance the effectiveness of the CSIRT, Cyber Threat Intelligence (CTI): Collect, Analyze, Prioritize, and Disseminate intelligence regarding Cyber Security Threats, Threat Hunting: Make an observation or collect data, research the observation, formulate a hypothesis, execute hunt activities, neutralize any identified threats, then hunt outcomes are enriched and reported to stakeholders, Detection Engineering to improve monitoring accuracy and capabilities by Gathering requirements, designing new detections, developing alerts, Mentor, direct, and review activities of less-senior analyst activities to build skills and contribute to career growth in this role",0 months, None - None
